CMDLINE /opt/anaconda3/envs/classifier/bin/python3.11 prot2.py
MEM 3760.296875 1747317003.8525
MEM 3874.562500 1747317003.9659
MEM 3913.750000 1747317004.0810
MEM 3924.359375 1747317004.1955
MEM 3967.515625 1747317004.3182
MEM 4062.578125 1747317004.4311
MEM 4146.812500 1747317004.5443
MEM 4171.843750 1747317004.6580
MEM 4158.640625 1747317004.7718
MEM 4207.406250 1747317004.8902
MEM 4181.687500 1747317005.0045
MEM 4203.609375 1747317005.1159
MEM 4200.984375 1747317005.2287
MEM 4204.562500 1747317005.3419
MEM 4219.609375 1747317005.4527
MEM 4207.984375 1747317005.5675
MEM 4224.531250 1747317005.6808
MEM 4215.234375 1747317005.7938
MEM 4223.921875 1747317005.9073
MEM 4228.750000 1747317006.0201
MEM 4207.359375 1747317006.1330
MEM 4211.625000 1747317006.2432
MEM 4250.781250 1747317006.3561
MEM 4250.796875 1747317006.4656
MEM 4240.218750 1747317006.5816
MEM 4239.906250 1747317006.6944
MEM 4221.859375 1747317006.8046
MEM 4219.390625 1747317006.9157
MEM 4184.281250 1747317007.0294
MEM 4167.500000 1747317007.1412
MEM 4156.656250 1747317007.2542
MEM 4130.531250 1747317007.3626
MEM 4115.328125 1747317007.4710
MEM 4101.218750 1747317007.5821
MEM 4097.437500 1747317007.6942
MEM 4052.453125 1747317007.8076
MEM 4024.125000 1747317007.9208
MEM 3977.984375 1747317008.0321
MEM 3962.984375 1747317008.1456
MEM 3957.062500 1747317008.2592
MEM 3947.375000 1747317008.3706
MEM 3929.859375 1747317008.4853
MEM 3916.500000 1747317008.5941
MEM 3918.812500 1747317008.7045
MEM 3908.906250 1747317008.8163
MEM 3877.781250 1747317008.9308
MEM 3886.765625 1747317009.0409
MEM 3876.656250 1747317009.1510
MEM 3879.671875 1747317009.2600
MEM 3875.718750 1747317009.3718
MEM 3874.500000 1747317009.4823
MEM 3885.515625 1747317009.5950
MEM 3905.640625 1747317009.7090
MEM 3887.515625 1747317009.8211
MEM 3886.953125 1747317009.9344
MEM 3898.406250 1747317010.0490
MEM 3902.906250 1747317010.1583
MEM 3913.343750 1747317010.2689
MEM 3924.218750 1747317010.3789
MEM 3937.718750 1747317010.4886
MEM 3955.187500 1747317010.6012
MEM 3949.234375 1747317010.7154
MEM 3924.578125 1747317010.8276
MEM 3918.828125 1747317010.9405
MEM 3919.875000 1747317011.0526
MEM 3920.546875 1747317011.1616
MEM 3900.968750 1747317011.2718
